job_id,title,company,location,type,category,description,link
131182,Manager,Vastu Housing Finance,Locations: Mumbai,Full-time,Finance,"Vastu's Career Returnship Program is a 9 to 12 months program designed to train, up-skill and reintroduce women with more than 2 years of career break.",https://herkey.com/jobs/manager/131182
118950,Commvault,HCL Technologies,Locations: Chennai; Noida; Bangalore,Full-time,Technology,"CommVault Backup & Recovery administration – in required technology. Should have hands-on experience on Commvault.",https://www.herkey.com/jobs/commvault/118950
122513,Pega CSSA,Capgemini,Locations: Pune; Hyderabad; Kolkata; Chennai,Full-time,Technology,"Apply Pega CSSA job in Capgemini - Pune, Hyderabad, Kolkata, Chennai.",https://herkey.com/jobs/pega-cssa/122513
164317,Trainer,HerKey,Locations:Bangalore,Full-time,Training,"Join our expanding team as a Trainer cum Moderator. We're seeking a talented individual with excellent communication skills and a background in training.",https://www.herkey.com/jobs/trainer/164317
171949,DevOps Engineer,Persistent Systems,Locations:Pune,Full-time,Technology,"Role: DevOps Engineer (100% Individual contributor role). Experience: 6 to 10 Years.",https://www.herkey.com/jobs/devopsengineer/171949
173407,People Business Partner,Ericsson,Locations:Chennai,Full-time,Human Resources,"Looking for a People Business Partner to drive our People Story securing a positive people experience.",https://www.herkey.com/jobs/peoplebusinesspartner/173407
139322,Remote Back Office Associate,KINGONE HEALTHCARE PROJECTS PRIVATE LIMITED,"Locations: Ahmedabad, Bangalore, Chennai, Delhi, Hyderabad, Kolkata, Mumbai, Pune, Amritsar, Chandigarh, Faridabad, Guntur, Hubli, Hospet, Indore, Itanagar, Kanpur, Kottayam, Koppal, Madurai, Mathura, Nellore, Salem, Thiruvananthapuram, Udupi",Work From Home,Admin / Data Entry / Customer Service,"Work from home opportunity as a back office associate/coordinator. Requires basic computer skills and good communication.",https://www.herkey.com/jobs/remote-back-office-associate/139322
156708,Fresher HR Recruitment (Part Time / Work From Home),Saarvasri Herbs Private Limited,"HLocations:yderabad, Ahmedabad, Delhi, Mohali, Chandigarh, Thane, Mumbai, Bangalore, Visakhapatnam, Ghaziabad, Noida, Greater Noida, Vijayawada, Chennai, Sonipat, Nellore, Baramati, Solapur, Aligarh, Tarapur, Gaya, Ratnagiri, Khopoli, Dhanbad, Amravati, Bikaner, Bhilai, Kolkata, Pune, Agartala, Moradabad, Bareilly, Kanchipuram, Chamba, Jaipur",Full Time,HR / Admin,"Entry-level HR recruitment role suitable for freshers. Involves back office operations and data entry tasks.",https://www.herkey.com/jobs/fresher-hr-recruitment-part-time-work-from-home-fresher-home-based/156708
134630,Work from Home Opportunity,Highrich Online Shoppe Private Limited,"Locations:Ahmedabad, Bangalore, Chennai, Delhi, Hyderabad, Kolkata, Mumbai, Pune, Allahabad, Jaisalmer, Kadapa, Kakinada, Kalpakkam, Kanpur, Lucknow, Nasik",Full Time,Customer Service / Marketing,"Remote work opportunity involving back office tasks and data entry. Suitable for individuals seeking flexible work options.",https://www.herkey.com/jobs/work-from-home-opportunity/134630
159645,Recruitment Consultant,ResourceTree,Locations:Bangalore,Full-time,Recruitment,"Sourcing, talent acquisition roles in HR recruitment.",https://www.herkey.com/jobs/recruitment-consultant/159645
149163,Representative/Senior Representative – Apprenticeship Program,Synchrony,Locations:Hyderabad,Full-time,Accounting / Finance / Tax / CS / Audit,"Problem-solving skills required in Accounting / Finance / Tax / CS / Audit and Banking/Financial Services/Insurance industry.",https://www.herkey.com/jobs/thankyou/149163
170156,HR Coordinator,HerKey,Locations:Bangalore,Full-time,Human Resources,"Coordination, lead follow-up, HR administration, onboarding.",https://www.herkey.com/jobs/hr-coordinator/170156
19254,Front Office and Recruiter,HerKey,Locations:Bangalore,Full-time,Human Resources,"Front office management and recruitment responsibilities.",https://www.herkey.com/jobs/front-office-and-recruiter/19254
141840,Online Data Entry Typist,HerKey,Locations:Remote,Part-time,Data Entry,"Online data entry jobs, work from home, typing jobs.",https://www.herkey.com/jobs/online-data-entry-jobs-work-from-home-data-entry-jobs-part-time-typist-jobs-online-typing-jobs-typing-jobs-work-from-home-data-entry-jobs-part-time-online-data-entry-jobs-home-based-typist/141840
172907,Recruiter,HerKey,Locations:Bangalore,Full-time,Human Resources,"Recruitment responsibilities including sourcing and interviewing candidates.",https://www.herkey.com/jobs/recruiter/172907
170156,HR Coordinator,HerKey,Locations:Bangalore,Full-time,Human Resources,"Coordination, lead follow-up, HR administration, onboarding.",https://www.herkey.com/jobs/hr-coordinator/170156
170977,HR Manager,AnyUNI,Locations:Remote,Freelance,Human Resources,"HR operations, HR model, HR cycle, HR policy.",https://www.herkey.com/jobs/hr-manager/170977
162145,Background Verification Analyst - PEBC,KPMG,Locations:Pune,Full-time,Research/Analytics,"Background verification, document verification.",https://www.herkey.com/jobs/background-verification-analyst-pebc/162145
170156,HR Coordinator,HerKey,Locations:Bangalore,Full-time,Human Resources,"Coordination, lead follow-up, HR administration, onboarding.","https://www.herkey.com/jobs/hr-coordinator/170156"
165200,HR Manager,HerKey,Locations:Bangalore,Full-time,Human Resources,"HR generalist, employee engagement, payroll, compliance.","https://www.herkey.com/jobs/hr-manager/165200"
168037,Software Engineer,Client of HerKey,Locations:Pune,Full-time,Software Development,"HTML5, JavaScript, CSS3, jQuery, Bootstrap, React.js.","https://www.herkey.com/jobs/software-engineer/168037"
11547,Software Engineer,Synchrony,Locations:Hyderabad,Full-time,Software Development,"Software engineering roles with a focus on innovation and technology.","https://www.herkey.com/companies/synchrony/11547"
22785,Various Roles,DAZN,Locations:Remote,Various,Various,"Opportunities across multiple departments including tech, marketing, and operations.","https://www.herkey.com/companies/dazn/22785"
